OBJNAME,RA,DEC,Z,constellation
MCG +10-13-023,132.69295833333334,61.6395,2.641e-02,Ursa Major
UGC 04621,132.54920833333333,35.07638888888889,7.640e-03,Lynx
KUG 0847+366,132.666375,36.467416666666665,2.519e-02,Lynx
CGCG 208-058,132.75724999999997,42.736333333333334,2.412e-02,Lynx
KUG 0847+365B,132.73583333333335,36.33538888888889,2.500e-02,Lynx
CGCG 120-042,132.7134583333333,22.626527777777778,2.871e-02,Cancer
MRK 0628,132.73691666666664,29.200166666666664,2.634e-02,Cancer
KUG 0848+430,132.84983333333332,42.81247222222222,2.436e-02,Lynx
NGC 2676,132.89854166666666,47.55766666666666,2.906e-02,Ursa Major
KUG 0849+408,133.1735833333333,40.68447222222222,2.875e-02,Lynx
UGC 04642,133.23595833333331,42.41511111111111,2.400e-02,Lynx
UGC 04643,133.16833333333332,21.42238888888889,2.567e-02,Cancer
CGCG 061-017,133.23766666666668,9.317055555555555,2.936e-02,Cancer
MCG +09-15-043,133.58266666666665,54.45780555555556,2.476e-02,Ursa Major
UGC 04656,133.47266666666664,18.180305555555556,2.810e-02,Cancer
UGC 04657,133.50233333333333,18.68230555555556,1.454e-02,Cancer
NGC 2684,133.72516666666667,49.16038888888889,9.607e-03,Ursa Major
CGCG 005-024,133.5354583333333,0.4985555555555556,2.821e-02,Hydra
CGCG 208-069,133.86604166666663,42.024166666666666,2.839e-02,Lynx
KUG 0852+424,133.9467083333333,42.27741666666667,2.841e-02,Lynx
NGC 2704,134.19870833333331,39.382194444444444,2.375e-02,Lynx
UGC 04689,134.41404166666663,39.504305555555554,2.735e-02,Lynx
CGCG 090-045,134.4739583333333,17.09125,2.050e-02,Cancer
KUG 0855+527,134.75137499999997,52.57033333333334,2.871e-02,Ursa Major
UGC 04698,134.63691666666665,28.26725,2.670e-02,Cancer
UGC 04700,134.709375,41.58016666666667,2.829e-02,Lynx
AT 2017ban,134.619125,0.02347222222222222,2.846e-02,Hydra
NGC 2718,134.71029166666665,6.293,1.278e-02,Hydra
UGC 04716,135.06508333333332,40.29677777777778,2.891e-02,Lynx
CGCG 033-035,134.89420833333332,3.5085,2.743e-02,Hydra
UGC 04719,135.159,50.67838888888889,1.692e-02,Ursa Major
ARK 190,135.15029166666665,46.686499999999995,2.743e-02,Ursa Major
CGCG 090-049,135.0634583333333,17.409055555555554,2.039e-02,Cancer
CGCG 061-039,135.30095833333334,13.0445,2.974e-02,Cancer
CGCG 238-005,135.56399999999996,46.41822222222222,2.719e-02,Lynx
NGC 2728,135.42054166666665,11.082972222222223,1.911e-02,Cancer
UGC 04740,135.52575,23.38711111111111,1.046e-02,Cancer
CGCG 150-062,135.68612499999998,31.273888888888887,1.385e-02,Cancer
UGC 04745,135.6814583333333,25.09197222222222,2.003e-02,Cancer
SBS 0859+521,135.86774999999997,51.9835,2.864e-02,Ursa Major
UGC 04749,136.13975,51.61416666666667,1.594e-02,Ursa Major
CGCG 061-056,136.13266666666664,13.161222222222223,2.804e-02,Cancer
CGCG 151-009,136.22829166666665,28.384166666666665,2.687e-02,Cancer
NGC 2740,136.52079166666664,51.735305555555556,2.952e-02,Ursa Major
UGC 04768,136.30504166666665,-0.4966388888888889,2.767e-02,Hydra
NGC 2746,136.49766666666665,35.37738888888889,2.353e-02,Lynx
MCG +07-19-028,136.7483333333333,41.44058333333333,2.613e-02,Lynx
IC 2434,136.81691666666666,37.21527777777778,2.380e-02,Lynx
CGCG 005-057,136.73104166666664,-0.03130555555555556,1.865e-02,Hydra
NGC 2761,136.87845833333333,18.43475,2.911e-02,Cancer
UGC 04790,137.05520833333333,51.651805555555555,2.953e-02,Ursa Major
NGC 2755,136.99295833333332,41.70894444444445,2.511e-02,Lynx
CGCG 151-012,137.02079166666664,27.249916666666667,2.121e-02,Cancer
CGCG 034-001,136.97899999999998,3.2726944444444444,2.676e-02,Hydra
CGCG 264-068,137.26037499999998,53.894555555555556,2.946e-02,Ursa Major
NGC 2756,137.253875,53.84952777777778,1.327e-02,Ursa Major
NGC 2764,137.07279166666663,21.443333333333335,9.066e-03,Cancer
UGC 04799,137.1983333333333,37.50161111111111,2.275e-02,Lynx
UGC 04805,137.3775,45.95236111111112,2.695e-02,Lynx
CGCG 121-028,137.38741666666664,20.40761111111111,2.672e-02,Cancer
CGCG 091-012,137.455,19.8575,2.930e-02,Cancer
VII Zw 263,137.91554166666666,64.36594444444444,2.868e-02,Ursa Major
MCG +11-11-042,137.94245833333332,64.29666666666667,2.849e-02,Ursa Major
UGC 04826,137.71387499999997,2.9770833333333333,2.626e-02,Hydra
UGC 04827,137.75704166666665,13.414111111111112,2.892e-02,Cancer
CGCG 091-018,137.8045833333333,19.400027777777776,2.903e-02,Cancer
CGCG 034-011,138.01529166666666,2.875861111111111,2.566e-02,Hydra
UGC 04846,138.44291666666663,62.33180555555556,2.553e-02,Ursa Major
UGC 04851,138.357875,52.98133333333333,2.523e-02,Ursa Major
KUG 0910+455,138.340125,45.35402777777778,2.651e-02,Lynx
UGC 04853,138.25533333333334,20.36527777777778,8.773e-03,Cancer
KUG 0910+524A,138.48091666666664,52.290861111111106,2.867e-02,Ursa Major
IC 2446,138.38074999999998,28.95175,2.652e-02,Cancer
UGC 04857,138.30575,3.2304166666666667,1.264e-02,Hydra
KUG 0910+433,138.55441666666664,43.135,1.412e-02,Lynx
UGC 04863,138.60312499999998,40.77791666666666,2.801e-02,Lynx
CGCG 180-062,138.60929166666665,36.11227777777778,2.197e-02,Lynx
CGCG 264-086,138.74079166666664,53.38638888888889,2.891e-02,Ursa Major
MCG +08-17-061,138.6809583333333,49.7865,2.914e-02,Ursa Major
UGC 04870,138.73199999999997,46.90311111111111,1.418e-02,Ursa Major
UGC 04869,138.64304166666662,30.14086111111111,2.286e-02,Cancer
KUG 0911+422,138.7530833333333,42.02444444444444,2.790e-02,Lynx
MCG +11-11-044,138.9887083333333,64.73277777777778,1.904e-02,Ursa Major
UGC 04872,138.75641666666667,40.0365,2.740e-02,Lynx
NGC 2785,138.814125,40.91752777777778,8.746e-03,Lynx
CGCG 121-044,138.81074999999998,22.646083333333333,2.820e-02,Cancer
CGCG 151-038,138.8852083333333,30.140055555555556,6.323e-03,Cancer
